tgname,trigger_def
RI_ConstraintTrigger_a_20006,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20006"" AFTER DELETE ON public.profiles FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20007,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20007"" AFTER UPDATE ON public.profiles FROM referrals NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20047,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20047"" AFTER DELETE ON public.profiles FROM announcements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20048,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20048"" AFTER UPDATE ON public.profiles FROM announcements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20087,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20087"" AFTER DELETE ON public.profiles FROM registration_metadata NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_20088,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20088"" AFTER UPDATE ON public.profiles FROM registration_metadata NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20132,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20132"" AFTER DELETE ON public.profiles FROM project_documents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20133,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20133"" AFTER UPDATE ON public.profiles FROM project_documents NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20168,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20168"" AFTER DELETE ON public.profiles FROM recovery_requests NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20169,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20169"" AFTER UPDATE ON public.profiles FROM recovery_requests NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20173,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20173"" AFTER DELETE ON public.profiles FROM recovery_requests NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20174,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20174"" AFTER UPDATE ON public.profiles FROM recovery_requests NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20213,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20213"" AFTER DELETE ON public.profiles FROM admin_audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20214,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20214"" AFTER UPDATE ON public.profiles FROM admin_audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20218,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20218"" AFTER DELETE ON public.profiles FROM admin_audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20219,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20219"" AFTER UPDATE ON public.profiles FROM admin_audit_logs NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20255,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20255"" AFTER DELETE ON public.profiles FROM support_conversations NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_20256,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20256"" AFTER UPDATE ON public.profiles FROM support_conversations NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20276,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20276"" AFTER DELETE ON public.profiles FROM support_messages NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20277,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20277"" AFTER UPDATE ON public.profiles FROM support_messages NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_20310,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20310"" AFTER DELETE ON public.profiles FROM support_message_reactions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_del""()"
RI_ConstraintTrigger_a_20311,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20311"" AFTER UPDATE ON public.profiles FROM support_message_reactions NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
